FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,COUNTY_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,MAP_NAME
598540,Low Pond,Reservoir,MA,Worcester,42.0499154,-71.8921723,146,Webster
598541,Crow Hills,Summit,MA,Worcester,42.5334232,-71.8620185,280,Fitchburg
598542,Chadwick Square,Populated Place,MA,Worcester,42.2903707,-71.8092381,176,Worcester North
598543,Emerson Hill,Summit,MA,Worcester,42.0459301,-71.8272932,209,Oxford
598544,Sunderland,Populated Place,MA,Worcester,42.244538,-71.7717372,155,Worcester South
598545,White Pond,Reservoir,MA,Worcester,42.5132917,-71.7158865,122,Shirley
598546,Longley Hill,Summit,MA,Worcester,42.3381487,-71.6972914,204,Shrewsbury
598547,South Meadow Pond,Lake,MA,Worcester,42.4153509,-71.7057362,100,Clinton
598548,Powder House Hill,Summit,MA,Worcester,42.4389814,-71.6022892,163,Hudson
598549,Strawberry Hill,Summit,MA,Middlesex,42.4945376,-71.4022836,101,Maynard
598550,Caryville,Populated Place,MA,Norfolk,42.1334304,-71.4478383,60,Holliston
598551,Christian Hill,Summit,MA,Middlesex,42.6550912,-71.2914491,92,Lowell
598552,Collinsville,Populated Place,MA,Middlesex,42.6834237,-71.3522845,42,Lowell
598553,Claypit Pond,Lake,MA,Middlesex,42.3939237,-71.1642532,1,Lexington
598554,Rocks Village,Populated Place,MA,Essex,42.8098126,-71.0022784,7,Haverhill
598555,Middleton Pond,Lake,MA,Essex,42.5918787,-71.027631,26,Reading
598556,Broad Meadow,Swamp,MA,Norfolk,42.1838036,-71.0190162,31,Blue Hills
598557,Old Quincy Reservoir,Reservoir,MA,Norfolk,42.2180816,-71.0176496,25,Blue Hills
598558,Segreganset,Populated Place,MA,Bristol,41.8367681,-71.1133786,10,Assonet
598559,West Bridgewater,Populated Place,MA,Plymouth,42.0189894,-71.0078215,19,Brockton
598560,Cranberry Pond,Lake,MA,Plymouth,41.8215432,-70.9104784,16,Assawompset Pond
598561,The Reservoir,Reservoir,MA,Plymouth,41.863883,-70.9412517,21,Assawompset Pond
598562,Burrage Pond,Reservoir,MA,Plymouth,42.019546,-70.8744856,18,Whitman
598563,Black Rock Channel,Gut,MA,Plymouth,42.3334319,-70.9161582,0,Hull
